term,tf,emotion
bienestar,11,alegria
orgullo,1,alegria
violencia,11,ira
ira,2,ira
riesgo,9,miedo
amenaza,3,miedo
incertidumbre,2,miedo
inseguridad,1,miedo
temor,1,miedo
seguridad,31,confianza
confianza,9,confianza
estabilidad,6,confianza
colaboracion,5,confianza
corrupcion,8,asco
proyecto,10,anticipacion
futuro,9,anticipacion
plan,9,anticipacion
planificacion,4,anticipacion
estrategia,3,anticipacion
vision,1,anticipacion
