candidate,polarity_mean,subjectivity,emo_alegria,emo_tristeza,emo_ira,emo_miedo,emo_confianza,emo_sorpresa,emo_asco,emo_anticipacion
artes,0.005947722648301769,0.012458913758021599,0.0670391061452514,0.0111731843575419,0.1005586592178771,0.055865921787709494,0.12849162011173185,0.0,0.0446927374301676,0.5921787709497207
harold,0.017621449796144013,0.029507290442954876,0.08823529411764706,0.0,0.09558823529411764,0.11764705882352941,0.375,0.0,0.058823529411764705,0.2647058823529412
jara,0.02364755425979916,0.037252996436669905,0.15384615384615385,0.0,0.09615384615384616,0.11538461538461539,0.15384615384615385,0.0,0.07692307692307693,0.40384615384615385
kaiser,0.014316006072696704,0.020438890352693192,0.09867172675521822,0.003795066413662239,0.009487666034155597,0.13092979127134724,0.2846299810246679,0.0,0.024667931688804556,0.4478178368121442
kast,0.0101900701019007,0.023921370239213702,0.14084507042253522,0.02112676056338028,0.09859154929577464,0.1056338028169014,0.3028169014084507,0.0,0.02112676056338028,0.30985915492957744
matthei,0.01947270539328301,0.03270976917186304,0.11061946902654868,0.030973451327433628,0.08849557522123894,0.10619469026548672,0.3495575221238938,0.0,0.04424778761061947,0.26991150442477874
meo,0.016439403593730088,0.02637950809226456,0.09259259259259259,0.0,0.018518518518518517,0.12962962962962962,0.2962962962962963,0.0,0.018518518518518517,0.4444444444444444
parisi,0.008657201459737354,0.015369862283902932,0.03816793893129771,0.019083969465648856,0.0648854961832061,0.1450381679389313,0.3435114503816794,0.0,0.030534351145038167,0.35877862595419846
