term,tf,emotion
bienestar,6,alegria
satisfaccion,4,alegria
esperanza,1,alegria
orgullo,1,alegria
abandono,2,tristeza
ira,10,ira
violencia,8,ira
amenaza,6,miedo
riesgo,3,miedo
inseguridad,1,miedo
seguridad,18,confianza
colaboracion,2,confianza
estabilidad,2,confianza
confianza,1,confianza
corrupcion,5,asco
rechazo,3,asco
planificacion,56,anticipacion
plan,33,anticipacion
futuro,8,anticipacion
proyecto,7,anticipacion
estrategia,1,anticipacion
vision,1,anticipacion
