candidate,0,1,2,3,4
artes,2.111157118633855e-05,0.9999151229858398,2.1526549971895292e-05,2.1105966879986227e-05,2.1139758246135898e-05
harold,4.0530194382881746e-05,4.171969703747891e-05,0.9998365640640259,4.05207829317078e-05,4.061722938786261e-05
jara,0.0002278586762258783,0.04012786224484444,0.9591884016990662,0.00022780612925998867,0.0002280794724356383
kaiser,7.287886091944529e-06,7.478923180315178e-06,0.9999706745147705,7.2851235017878935e-06,7.300914148800075e-06
kast,4.6989222028059885e-05,4.81017013953533e-05,0.9998108744621277,4.6977762394817546e-05,4.704067396232858e-05
matthei,3.127586023765616e-05,3.187032416462898e-05,0.9998742341995239,3.126784213236533e-05,3.1319174013333395e-05
meo,7.48664460843429e-05,7.679092232137918e-05,0.9996985793113708,7.484088564524427e-05,7.49430400901474e-05
parisi,1.4192337403073907e-05,1.4459771591646131e-05,0.99994295835495,1.418790179741336e-05,1.421066826878814e-05
