candidate,term,tf,tf_per_k
artes,elaboracion,14,0.9178522257916475
artes,cooperativas,14,0.9178522257916475
artes,caracter,13,0.8522913525208156
artes,socialismo,13,0.8522913525208156
artes,fuentes,13,0.8522913525208156
artes,imperialista,13,0.8522913525208156
artes,industriales,13,0.8522913525208156
artes,populares,13,0.8522913525208156
artes,oligarquia,13,0.8522913525208156
artes,medianos,13,0.8522913525208156
artes,asegurar,13,0.8522913525208156
artes,estatales,13,0.8522913525208156
artes,ecosistema,13,0.8522913525208156
artes,publico,13,0.8522913525208156
artes,desarrollar,13,0.8522913525208156
artes,mental,13,0.8522913525208156
artes,cambio,12,0.7867304792499836
artes,esencial,12,0.7867304792499836
artes,areas,12,0.7867304792499836
artes,masas,12,0.7867304792499836
artes,principal,12,0.7867304792499836
artes,monopolicas,12,0.7867304792499836
artes,medios,12,0.7867304792499836
artes,reduccion,12,0.7867304792499836
artes,anos,12,0.7867304792499836
artes,socialista,12,0.7867304792499836
artes,extranjeras,12,0.7867304792499836
artes,cultura,12,0.7867304792499836
artes,esencialmente,12,0.7867304792499836
artes,internacionales,12,0.7867304792499836
artes,individual,12,0.7867304792499836
artes,democratico,12,0.7867304792499836
artes,acceso,12,0.7867304792499836
artes,directa,12,0.7867304792499836
artes,fondos,12,0.7867304792499836
artes,evaluara,12,0.7867304792499836
artes,valor,11,0.7211696059791517
artes,real,11,0.7211696059791517
artes,emancipacion,11,0.7211696059791517
artes,agricola,11,0.7211696059791517
artes,tales,11,0.7211696059791517
artes,nivel,11,0.7211696059791517
artes,usd,11,0.7211696059791517
artes,propietarios,11,0.7211696059791517
artes,conciencia,11,0.7211696059791517
artes,reforma,11,0.7211696059791517
artes,importante,11,0.7211696059791517
artes,calidad,11,0.7211696059791517
artes,mujeres,11,0.7211696059791517
artes,exterior,11,0.7211696059791517
artes,energetica,11,0.7211696059791517
artes,cantidad,11,0.7211696059791517
artes,mediano,11,0.7211696059791517
artes,via,11,0.7211696059791517
artes,derechos,11,0.7211696059791517
artes,humano,11,0.7211696059791517
artes,caso,11,0.7211696059791517
artes,gradual,11,0.7211696059791517
artes,estudio,11,0.7211696059791517
artes,sociedades,11,0.7211696059791517
artes,naturaleza,11,0.7211696059791517
artes,ninos,11,0.7211696059791517
artes,camino,10,0.6556087327083197
artes,posibilidad,10,0.6556087327083197
artes,fase,10,0.6556087327083197
artes,privados,10,0.6556087327083197
artes,superior,10,0.6556087327083197
artes,inversion,10,0.6556087327083197
artes,lugar,10,0.6556087327083197
artes,productos,10,0.6556087327083197
artes,costos,10,0.6556087327083197
artes,capitalistas,10,0.6556087327083197
artes,personas,10,0.6556087327083197
artes,apoyo,10,0.6556087327083197
artes,ingreso,10,0.6556087327083197
artes,ano,10,0.6556087327083197
artes,aspectos,10,0.6556087327083197
artes,periodo,10,0.6556087327083197
artes,ni,10,0.6556087327083197
artes,puedan,10,0.6556087327083197
artes,legal,10,0.6556087327083197
artes,esten,10,0.6556087327083197
artes,proteccion,10,0.6556087327083197
artes,precios,10,0.6556087327083197
artes,presente,10,0.6556087327083197
artes,requiere,10,0.6556087327083197
artes,permanente,10,0.6556087327083197
artes,territorio,10,0.6556087327083197
artes,hogar,10,0.6556087327083197
artes,tendra,10,0.6556087327083197
artes,integracion,10,0.6556087327083197
artes,region,10,0.6556087327083197
artes,planes,10,0.6556087327083197
artes,punto,10,0.6556087327083197
artes,criterios,10,0.6556087327083197
artes,inflacion,10,0.6556087327083197
artes,ira,10,0.6556087327083197
artes,justicia,10,0.6556087327083197
artes,practicamente,9,0.5900478594374877
artes,principales,9,0.5900478594374877
artes,naturales,9,0.5900478594374877
artes,momento,9,0.5900478594374877
artes,productiva,9,0.5900478594374877
artes,adquirir,9,0.5900478594374877
artes,productivas,9,0.5900478594374877
artes,solida,9,0.5900478594374877
artes,aumentar,9,0.5900478594374877
artes,fundamental,9,0.5900478594374877
artes,altamente,9,0.5900478594374877
