,artes,harold,jara,kaiser,kast,matthei,meo,parisi
artes,0.99999994,0.9960274,0.99361503,0.99677676,0.9968435,0.99335146,0.9956964,0.992542
harold,0.9960274,0.9999999,0.99937886,0.99886847,0.9988098,0.99925935,0.99691945,0.996971
jara,0.99361503,0.99937886,0.9999997,0.99709225,0.998619,0.998955,0.9950653,0.99499947
kaiser,0.99677676,0.99886847,0.99709225,0.9999995,0.99680936,0.9979586,0.9987172,0.99847096
kast,0.9968435,0.9988098,0.998619,0.99680936,1.0000001,0.9969001,0.99469775,0.9926517
matthei,0.99335146,0.99925935,0.998955,0.9979586,0.9969001,0.9999998,0.9955681,0.9977473
meo,0.9956964,0.99691945,0.9950653,0.9987172,0.99469775,0.9955681,1.0000002,0.9963586
parisi,0.992542,0.996971,0.99499947,0.99847096,0.9926517,0.9977473,0.9963586,1.0000002
