,artes,harold,jara,kaiser,kast,matthei,meo,parisi
artes,1.0000000000000007,0.9157655369188962,0.9074377679431223,0.93115638788048,0.9076100167326233,0.9123954979917857,0.9260960417022286,0.8449274190341578
harold,0.9157655369188962,1.0000000000000013,0.9662164276689384,0.9461539670128916,0.9717898021721969,0.9841146559889153,0.9417558747742891,0.898028818634651
jara,0.9074377679431223,0.9662164276689384,1.0000000000000007,0.9193119457785844,0.961965851411404,0.9646185842131365,0.9256123377325667,0.843995921043868
kaiser,0.93115638788048,0.9461539670128916,0.9193119457785844,1.0000000000000004,0.9229857002857796,0.960742231776408,0.9600480344243194,0.9562613885052068
kast,0.9076100167326233,0.9717898021721969,0.961965851411404,0.9229857002857796,1.0000000000000007,0.9709813780599656,0.928391614774015,0.8650933822908837
matthei,0.9123954979917857,0.9841146559889153,0.9646185842131365,0.960742231776408,0.9709813780599656,1.0,0.9610641706392588,0.9284256468255535
meo,0.9260960417022286,0.9417558747742891,0.9256123377325667,0.9600480344243194,0.928391614774015,0.9610641706392588,1.0000000000000009,0.9270314444487482
parisi,0.8449274190341578,0.898028818634651,0.843995921043868,0.9562613885052068,0.8650933822908837,0.9284256468255535,0.9270314444487482,0.9999999999999998
