term,tf,emotion
esperanza,15,alegria
bienestar,4,alegria
orgullo,1,alegria
abandono,2,tristeza
soledad,1,tristeza
violencia,12,ira
rabia,2,ira
miedo,7,miedo
inseguridad,5,miedo
riesgo,2,miedo
amenaza,1,miedo
seguridad,28,confianza
confianza,7,confianza
colaboracion,7,confianza
estabilidad,1,confianza
corrupcion,3,asco
plan,16,anticipacion
futuro,12,anticipacion
estrategia,8,anticipacion
proyecto,6,anticipacion
planificacion,1,anticipacion
vision,1,anticipacion
