term,tf,emotion
bienestar,19,alegria
esperanza,5,alegria
orgullo,1,alegria
abandono,4,tristeza
soledad,3,tristeza
violencia,18,ira
ira,2,ira
riesgo,11,miedo
miedo,7,miedo
temor,3,miedo
amenaza,2,miedo
incertidumbre,1,miedo
seguridad,54,confianza
confianza,13,confianza
estabilidad,6,confianza
colaboracion,6,confianza
corrupcion,10,asco
plan,22,anticipacion
futuro,14,anticipacion
estrategia,13,anticipacion
vision,5,anticipacion
proyecto,4,anticipacion
planificacion,3,anticipacion
