candidate,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127,dim_128,dim_129,dim_130,dim_131,dim_132,dim_133,dim_134,dim_135,dim_136,dim_137,dim_138,dim_139,dim_140,dim_141,dim_142,dim_143,dim_144,dim_145,dim_146,dim_147,dim_148,dim_149,dim_150,dim_151,dim_152,dim_153,dim_154,dim_155,dim_156,dim_157,dim_158,dim_159,dim_160,dim_161,dim_162,dim_163,dim_164,dim_165,dim_166,dim_167,dim_168,dim_169,dim_170,dim_171,dim_172,dim_173,dim_174,dim_175,dim_176,dim_177,dim_178,dim_179,dim_180,dim_181,dim_182,dim_183,dim_184,dim_185,dim_186,dim_187,dim_188,dim_189,dim_190,dim_191,dim_192,dim_193,dim_194,dim_195,dim_196,dim_197,dim_198,dim_199,dim_200,dim_201,dim_202,dim_203,dim_204,dim_205,dim_206,dim_207,dim_208,dim_209,dim_210,dim_211,dim_212,dim_213,dim_214,dim_215,dim_216,dim_217,dim_218,dim_219,dim_220,dim_221,dim_222,dim_223,dim_224,dim_225,dim_226,dim_227,dim_228,dim_229,dim_230,dim_231,dim_232,dim_233,dim_234,dim_235,dim_236,dim_237,dim_238,dim_239,dim_240,dim_241,dim_242,dim_243,dim_244,dim_245,dim_246,dim_247,dim_248,dim_249,dim_250,dim_251,dim_252,dim_253,dim_254,dim_255,dim_256,dim_257,dim_258,dim_259,dim_260,dim_261,dim_262,dim_263,dim_264,dim_265,dim_266,dim_267,dim_268,dim_269,dim_270,dim_271,dim_272,dim_273,dim_274,dim_275,dim_276,dim_277,dim_278,dim_279,dim_280,dim_281,dim_282,dim_283,dim_284,dim_285,dim_286,dim_287,dim_288,dim_289,dim_290,dim_291,dim_292,dim_293,dim_294,dim_295,dim_296,dim_297,dim_298,dim_299,dim_300,dim_301,dim_302,dim_303,dim_304,dim_305,dim_306,dim_307,dim_308,dim_309,dim_310,dim_311,dim_312,dim_313,dim_314,dim_315,dim_316,dim_317,dim_318,dim_319,dim_320,dim_321,dim_322,dim_323,dim_324,dim_325,dim_326,dim_327,dim_328,dim_329,dim_330,dim_331,dim_332,dim_333,dim_334,dim_335,dim_336,dim_337,dim_338,dim_339,dim_340,dim_341,dim_342,dim_343,dim_344,dim_345,dim_346,dim_347,dim_348,dim_349,dim_350,dim_351,dim_352,dim_353,dim_354,dim_355,dim_356,dim_357,dim_358,dim_359,dim_360,dim_361,dim_362,dim_363,dim_364,dim_365,dim_366,dim_367,dim_368,dim_369,dim_370,dim_371,dim_372,dim_373,dim_374,dim_375,dim_376,dim_377,dim_378,dim_379,dim_380,dim_381,dim_382,dim_383
artes,-0.010711499489843845,0.006818638648837805,-0.0006766084698028862,-0.005936369765549898,0.08074951171875,0.00660317949950695,-0.04956289008259773,0.009337352588772774,-0.0029221803415566683,0.05011887103319168,0.03629600629210472,0.05253111571073532,0.010770419612526894,0.0027870668563991785,0.02797055058181286,-0.0004972373717464507,-0.041376590728759766,-0.028932783752679825,-0.013610218651592731,0.05394938960671425,0.029706377536058426,-0.04952424764633179,-0.03824738413095474,0.005759862717241049,0.027034789323806763,-0.013950983993709087,0.012383800931274891,-0.032951995730400085,0.006763115059584379,-0.048244401812553406,0.0037146355025470257,-0.025580035522580147,0.027218494564294815,0.038241829723119736,0.004801714792847633,-0.004602915607392788,0.08483514934778214,-0.018690146505832672,0.05177120491862297,0.030865369364619255,-0.013809229247272015,-0.0391434021294117,0.001626769546419382,0.007292567286640406,-0.00722564198076725,-0.016276465728878975,0.04242284223437309,-0.003487247508019209,-0.08734599500894547,-0.03774986043572426,0.04293381795287132,-0.017309702932834625,-0.017364492639899254,0.011722495779395103,-0.003245934145525098,-0.002477755304425955,0.0478663444519043,-0.014881535433232784,0.0032926269341260195,-0.0032663701567798853,0.02267328090965748,0.008614099584519863,-0.005567869637161493,-0.021426191553473473,0.03364624083042145,-0.024201175197958946,0.011002173647284508,0.043234165757894516,-0.0381990447640419,0.07648418098688126,0.03700188547372818,-0.019850241020321846,-0.017265236005187035,-0.02225678786635399,0.0009118411689996719,-0.017861485481262207,0.02718915231525898,0.06857508420944214,0.04948880150914192,-0.00014368290430866182,0.055024243891239166,0.055245351046323776,-0.013343637809157372,-0.012835304252803326,-0.06376878917217255,0.008530541323125362,0.0038886016700416803,0.013257516548037529,0.04592736065387726,-0.046330176293849945,-0.005108910147100687,0.050317004323005676,0.07517317682504654,0.002903912914916873,0.06372575461864471,0.04023567959666252,-0.0051385811530053616,-0.017325716093182564,-0.012647179886698723,0.010908090509474277,-0.02192225679755211,0.05841781944036484,-0.009910930879414082,-0.054721832275390625,-0.00021870767523068935,0.006296924781054258,-0.04653244838118553,-0.022773530334234238,0.00218797754496336,-0.001165911671705544,0.010463147424161434,-0.002745926147326827,-0.06140429526567459,0.003935123328119516,-0.013670315034687519,-0.024336300790309906,0.011652073822915554,0.007230598479509354,-0.03596142306923866,-0.002428948413580656,0.020851530134677887,-0.04046451672911644,-0.0008173961541615427,-0.03266071528196335,0.06377648562192917,0.02540600672364235,-0.03868445008993149,-0.0028944285586476326,-0.02677822671830654,-0.04348718747496605,-0.020699914544820786,-0.031175978481769562,-0.05294397845864296,0.0029090940952301025,0.018660834059119225,-0.012686819769442081,-0.009725616313517094,0.003311990527436137,0.00027544438489712775,0.04940715804696083,0.0282596442848444,0.08666975051164627,0.07772307097911835,0.028607238084077835,-0.002144362311810255,0.01971738040447235,0.07099698483943939,0.010435356758534908,0.02480970323085785,0.016206994652748108,0.034535810351371765,0.0013719290727749467,0.05203773081302643,-0.01716073974967003,-0.015646742656826973,-0.026675818488001823,-0.005620209965854883,0.0005653626285493374,0.03816423937678337,0.0529169961810112,-0.03309723734855652,0.038813576102256775,-0.0011795660248026252,0.009640587493777275,0.002330225193873048,-0.014436389319598675,-0.05286353826522827,-0.0043183607049286366,0.011929537169635296,-0.0021552995312958956,0.02418782375752926,0.026158610358834267,0.028127290308475494,-0.017784498631954193,0.05597991868853569,-0.02329656295478344,-0.05690225958824158,-0.002162336139008403,-0.038911476731300354,-0.010067117400467396,0.012738716788589954,-0.07525957375764847,0.017711861059069633,-0.02836356684565544,-0.046064719557762146,0.005050836130976677,-0.005990559700876474,-0.03170541673898697,-0.01385628804564476,-0.03396672382950783,-0.01792971044778824,0.058487359434366226,0.037211958318948746,0.04284851998090744,-0.029410438612103462,-0.0324278399348259,0.043759338557720184,0.034507866948843,0.031106412410736084,-0.015399554744362831,-0.11873140186071396,0.033246733248233795,-0.03676149994134903,-0.010305169969797134,0.025883108377456665,-0.0026060608215630054,0.05251507833600044,-0.03431148827075958,-0.03481754660606384,-0.006872796919196844,0.030586717650294304,0.018806487321853638,0.010924008674919605,0.002291889162734151,0.02691052295267582,0.01314852386713028,0.010681990534067154,0.022234372794628143,-0.0690198689699173,0.0026336004957556725,0.003770651761442423,0.045263875275850296,0.023151351138949394,-0.03337301313877106,-0.067850761115551,0.006847040262073278,-0.04550419747829437,0.040339238941669464,-0.0047702365554869175,0.015791617333889008,-0.06630176305770874,-0.0852268785238266,-0.021858690306544304,0.027477765455842018,-0.07496333122253418,-0.03942565619945526,0.07753431051969528,0.025707168504595757,-0.05658767372369766,-0.03603016212582588,0.023345306515693665,-0.0342799536883831,-0.03204737603664398,-0.028352314606308937,0.011231707409024239,0.021995486691594124,-0.021405620500445366,0.0435207337141037,-0.017384761944413185,0.025321640074253082,-0.06423844397068024,-0.1156458854675293,-0.004998383577913046,-0.04229896143078804,-0.021609921008348465,0.001874491572380066,-0.040775831788778305,-0.0015067079802975059,-0.022233087569475174,0.016348719596862793,-0.023189492523670197,-0.01947060413658619,0.013912925496697426,0.07606322318315506,0.031304024159908295,-0.026430346071720123,0.0005490200128406286,0.004908990580588579,-0.037709079682826996,0.007432630751281977,0.007376899942755699,-0.016652124002575874,0.0043154554441571236,-0.0234462171792984,0.0497664250433445,-0.016644809395074844,-0.001465224428102374,-0.03611543029546738,0.004187984392046928,0.015237334184348583,0.04470471292734146,0.01599769853055477,0.0025992710143327713,0.014797166921198368,0.005953578744083643,0.017513634636998177,0.0071000526659190655,0.010960250161588192,0.004299212247133255,0.010769117623567581,-0.006479294039309025,0.012884457595646381,0.07406238466501236,0.0033118021674454212,0.029357245191931725,-0.03148568421602249,-0.04494428634643555,0.021438777446746826,-0.03357302024960518,0.024862084537744522,0.04728884994983673,-0.004350163508206606,-0.014556988142430782,-0.0017116062808781862,0.005343208089470863,0.011312470771372318,0.03598795831203461,-0.011053649708628654,-0.010940510779619217,-0.003811262547969818,-0.0021028381306678057,-0.06953814625740051,0.036370642483234406,0.029422229155898094,-0.021884579211473465,-0.026890238747000694,-0.014050431549549103,-0.020034868270158768,0.030125746503472328,-0.04969273880124092,0.01798020489513874,0.019908102229237556,-0.0011595315299928188,0.012259145267307758,-0.03604964166879654,-0.0061397976242005825,0.01945948414504528,-0.03931741788983345,0.029580941423773766,0.018949663266539574,-0.009225119836628437,0.027873199433088303,0.014593751169741154,-0.04627873748540878,-0.03160688653588295,0.03370048478245735,-0.014981607906520367,0.05816372111439705,-0.03133160620927811,0.004079901613295078,0.04648560285568237,0.01437185425311327,-0.041964318603277206,-0.0041109719313681126,-0.023761432617902756,0.01101643592119217,-0.009610362350940704,0.004252724349498749,-0.035107072442770004,0.015835057944059372,-0.03369729220867157,-0.019674500450491905,-0.024297818541526794,-0.056716226041316986,-0.01705172471702099,0.0007138196961022913,-0.030101507902145386,0.012808212079107761,-0.010799921117722988,-0.07834532111883163,0.030513228848576546,0.026225663721561432,-0.0009389714687131345,0.019581234082579613,-0.008880670182406902,-0.04958202317357063,-0.04997073858976364,0.021533939987421036,0.0164340827614069,0.0031888349913060665,0.022034000605344772,-0.01118147000670433,0.0013894763542339206,0.010662187822163105,0.037321943789720535,-0.013848819769918919,-0.005357449408620596,0.04773914813995361,-0.027700424194335938,0.005467875394970179,0.0034932864364236593,-0.02107287384569645,0.055520836263895035,0.005361542571336031
harold,0.00021276237384881824,0.0019480654736980796,-0.014032110571861267,-0.00489159906283021,0.08641233295202255,0.03289273381233215,-0.06323316693305969,-0.0030812753830105066,0.008496246300637722,0.07113425433635712,0.04870050027966499,0.052280399948358536,0.005900037009268999,0.028368355706334114,0.045378223061561584,0.004083810839802027,-0.033167265355587006,-0.020559579133987427,0.0005306018865667284,0.05288634076714516,0.004163985140621662,-0.03511638939380646,-0.010084380395710468,0.0009596777381375432,-0.00046891928650438786,-0.012705490924417973,-0.0010785345220938325,-0.04518595337867737,0.00013658539683092386,-0.046600475907325745,0.021959105506539345,-0.023095790296792984,0.038586556911468506,0.02131444588303566,-0.008034574799239635,0.006532077211886644,0.06898517906665802,-0.00028619810473173857,0.01338909100741148,0.03978358954191208,-0.0327933132648468,-0.03373129293322563,0.003238111501559615,0.018824763596057892,-0.0074169994331896305,-0.03126620128750801,0.006575091741979122,0.001676187850534916,-0.09385702759027481,-0.022078197449445724,0.013873744755983353,-0.035922881215810776,-0.03371484577655792,0.0326748751103878,-0.011849143542349339,-0.0040139020420610905,0.04081449657678604,-0.013472513295710087,-0.0119642848148942,0.0014110755873844028,0.0427074134349823,0.0009641579817980528,0.010988172143697739,0.00454979483038187,0.004456843715161085,-0.007528685964643955,0.00046871716040186584,0.05013316869735718,-0.015442284755408764,0.05642227455973625,0.0242665633559227,-0.01165050733834505,0.009680571034550667,-0.01632452942430973,0.01686408929526806,-0.008611722849309444,0.017598874866962433,0.05336964875459671,0.07267030328512192,-0.00731270806863904,0.06604526191949844,0.03654856979846954,-0.017222372815012932,-0.02088940143585205,-0.05229761078953743,-0.006362863350659609,-0.015478710643947124,0.018527712672948837,0.025917978957295418,-0.050621870905160904,-0.013202769681811333,0.06342761963605881,0.0868624895811081,-6.111805123509839e-05,0.034569863229990005,0.05930820479989052,-0.03082621842622757,-0.03152049705386162,-0.018158555030822754,0.02301890216767788,-0.027885152027010918,0.0447436161339283,-0.005135154351592064,-0.06364073604345322,0.012521568685770035,0.01325759943574667,-0.02626088447868824,-0.046306997537612915,0.00991885270923376,0.0163109190762043,0.002471340587362647,0.0003422458248678595,-0.059054866433143616,0.0010915134334936738,-0.012686804868280888,-0.02387644536793232,0.01852858066558838,0.009563966654241085,-0.0018891090294346213,0.0033836497459560633,0.017329812049865723,-0.05156103894114494,-0.0031187108252197504,-0.059311311691999435,0.0928349569439888,0.005908773746341467,-0.029515789821743965,0.018621984869241714,-0.004397579934448004,-0.026783883571624756,0.006104941014200449,-0.016401205211877823,-0.02862277813255787,0.003651534439995885,0.0037750843912363052,-0.03912823647260666,-0.00222807377576828,-0.010334234684705734,-0.016766373068094254,0.03933107107877731,0.050392746925354004,0.0924883782863617,0.09023676067590714,0.029577774927020073,-0.00926818698644638,0.024432864040136337,0.04337085038423538,0.007746124640107155,0.037178993225097656,-0.00694599375128746,0.05168623477220535,-0.004907464142888784,0.06544949114322662,-0.007149838842451572,-0.0010068973060697317,-0.024434350430965424,0.015024600550532341,-0.0030490730423480272,0.03301010653376579,0.0529751293361187,-0.043394580483436584,0.03819502145051956,0.015046338550746441,-0.0010873520513996482,-0.011696122586727142,-0.035185426473617554,-0.043924931436777115,-0.023061897605657578,0.017431246116757393,-0.0011459182715043426,0.031681593507528305,-0.008626772090792656,0.04920626059174538,-0.011215354315936565,0.06591863185167313,-0.026840858161449432,-0.06942871958017349,0.0019777778070420027,-0.030167270451784134,-0.019365346059203148,0.00601588049903512,-0.07887919992208481,0.008107541128993034,-0.03638601675629616,-0.04072200506925583,0.013908947817981243,-0.013928540050983429,-0.0183519646525383,-0.0004038514744024724,-0.038728173822164536,-0.025201981887221336,0.02832944504916668,0.06208197772502899,0.03688473626971245,-0.021662848070263863,-0.04215366020798683,0.03314192220568657,0.01571865752339363,0.019238928332924843,0.0024151026736944914,-0.1214483454823494,0.021808644756674767,-0.043005507439374924,-0.0035806535743176937,0.025439171120524406,-0.006370979826897383,0.07383595407009125,-0.0463322177529335,-0.03353531286120415,-0.0019337210105732083,0.02799762412905693,0.04522017017006874,0.026909278705716133,-0.008955273777246475,0.024088652804493904,0.011853452771902084,0.0031270920298993587,0.04189327731728554,-0.05843282490968704,0.03650233894586563,0.0012491685338318348,0.04788021743297577,0.026876669377088547,-0.056552059948444366,-0.08461104333400726,0.008778782561421394,-0.04270656034350395,0.048060573637485504,-0.00643074931576848,0.0030699868220835924,-0.07430423051118851,-0.084967702627182,0.003212430514395237,0.03894362598657608,-0.09394258260726929,-0.06025535240769386,0.08397593349218369,0.018902400508522987,-0.06313742697238922,-0.02185557596385479,0.007564687170088291,-0.04304293170571327,-0.03416678309440613,-0.032562900334596634,0.010167033411562443,0.04508376494050026,-0.02392652817070484,0.051563799381256104,-0.026245519518852234,0.04619920998811722,-0.04177965968847275,-0.12573091685771942,-0.005307849496603012,-0.0516781210899353,-0.01953275129199028,0.008986224420368671,-0.05245232209563255,-0.0182935930788517,-0.020773500204086304,0.049800604581832886,-0.0027030485216528177,-0.03699500486254692,-0.0030520176514983177,0.08875301480293274,0.04177257791161537,-0.027891559526324272,-0.05159076303243637,-0.0005391939193941653,-0.034008316695690155,0.011857058852910995,0.0012252453016117215,-0.00680993078276515,-0.015057477168738842,-0.02489868924021721,0.05256522819399834,-0.004730735439807177,-0.03153204917907715,-0.027555951848626137,0.012945879250764847,0.030391529202461243,0.02981291338801384,0.0033707250840961933,-0.0018769802991300821,0.00695428904145956,-0.009879235178232193,0.02921333909034729,-0.017156541347503662,0.006376854609698057,0.023420093581080437,0.023714719340205193,-0.0021952041424810886,0.017593322321772575,0.047886017709970474,0.005054905544966459,0.03504030406475067,-0.024839239194989204,-0.052449069917201996,0.008507185615599155,-0.013617385178804398,0.025848669931292534,0.045265574008226395,-0.01038165483623743,-0.018901577219367027,-0.002749261213466525,0.006090777460485697,-0.004661437589675188,0.05272823944687843,-0.011828127317130566,0.0042603206820786,-0.008322334848344326,0.0005657125730067492,-0.09365220367908478,0.03199337050318718,0.045427996665239334,-0.01606348715722561,-0.018603460863232613,-0.028002144768834114,-0.032307013869285583,0.023334810510277748,-0.06873657554388046,0.029604654759168625,0.029744012281298637,-0.025096246972680092,0.011618785560131073,-0.028719162568449974,0.0024610974360257387,0.002016447251662612,-0.023339390754699707,0.012783952057361603,0.01632409170269966,-0.01275468710809946,0.0416310578584671,0.021900177001953125,-0.027915962040424347,-0.003403398906812072,0.03252726420760155,-0.02406558021903038,0.05225561559200287,-0.03307107463479042,0.0003898479335475713,0.0659513920545578,0.038474246859550476,-0.051072847098112106,-0.016233470290899277,-0.008563692681491375,-0.005556716583669186,-0.010680798441171646,0.03379504755139351,-0.03987221419811249,-0.00027322530513629317,-0.04197893291711807,-0.02640060894191265,-0.03048022836446762,-0.06045826897025108,-0.005736580118536949,-0.008524546399712563,-0.014892318286001682,0.020139656960964203,-0.005637981463223696,-0.08296611160039902,0.005459568463265896,0.039086438715457916,0.005446824245154858,0.03631596639752388,-0.01998860016465187,-0.047215547412633896,-0.0455472469329834,0.018061164766550064,0.006405646447092295,0.0057145655155181885,-0.007207403425127268,-0.022768229246139526,0.0046858228743076324,0.006222665775567293,0.04604697972536087,-0.007186307106167078,0.002900707069784403,0.0417373888194561,-0.04212803766131401,0.014097536914050579,0.012793128378689289,-0.007024036254733801,0.04021097719669342,0.020544666796922684
jara,-0.007019420154392719,0.017001565545797348,-0.0289914608001709,0.000271191936917603,0.09388292580842972,0.04976966232061386,-0.08567053824663162,-0.03899919241666794,0.005475636105984449,0.08217848837375641,0.06448744237422943,0.06354618072509766,0.006350059527903795,0.01220934558659792,0.04373708739876747,0.007454841397702694,-0.04104384407401085,-0.014314639382064342,-0.004129243083298206,0.06549005955457687,0.0011968446196988225,-0.037707146257162094,-0.013896333985030651,-0.005275092553347349,0.03030344657599926,-0.023219870403409004,0.011067255400121212,-0.04816741868853569,0.006364657077938318,-0.059900857508182526,0.033808063715696335,-0.018053531646728516,0.026802707463502884,0.0429074652493,0.004874312784522772,-0.003788131522014737,0.08888427168130875,0.0032645941246300936,0.027885859832167625,0.04779643192887306,-0.02213158644735813,-0.0397489033639431,-0.005279215052723885,-0.0016122127417474985,-0.010286776348948479,-0.020930727943778038,0.024059364572167397,-0.004892940167337656,-0.10148165374994278,-0.0234589371830225,0.004252312239259481,-0.04127359762787819,-0.030261214822530746,0.03999840095639229,-0.0008928776951506734,-0.0047010756097733974,0.04811056703329086,-0.01680067554116249,-0.018651103600859642,-0.020971763879060745,0.04640702158212662,-1.1044367965951096e-05,0.029708148911595345,0.0016572788590565324,0.009355400688946247,-0.023306364193558693,-0.005601020064204931,0.04634338989853859,-0.03288465738296509,0.06518863886594772,0.018540825694799423,-0.008966157212853432,-0.006941316649317741,-0.034199994057416916,0.017948895692825317,-0.020099299028515816,0.032905951142311096,0.04945475980639458,0.0772550106048584,0.00047710849321447313,0.06758003681898117,0.04137716442346573,-0.021760057657957077,-0.019750693812966347,-0.05916067585349083,-0.010163330473005772,-0.011890283785760403,0.002205705503001809,0.03744982182979584,-0.07657120376825333,-0.023047203198075294,0.0827212706208229,0.10097775608301163,-0.0026440478395670652,0.05191808193922043,0.06331208348274231,-0.0253452155739069,-0.0264851413667202,-0.022518998011946678,0.02113145776093006,-0.036473598331213,0.05013536289334297,-0.00385990715585649,-0.08420571684837341,0.013519790954887867,-0.010681637562811375,-0.03684958070516586,-0.04516573250293732,0.013714432716369629,0.030822105705738068,0.009136241860687733,-0.0035747061483561993,-0.06607804447412491,0.013372051529586315,-0.011256160214543343,-0.04032532125711441,0.011022460646927357,0.001709611969999969,-0.011841912753880024,0.0004238596884533763,0.009982948191463947,-0.03695742040872574,-0.021896013990044594,-0.06844480335712433,0.09946424514055252,0.0018109098309651017,-0.026245111599564552,0.01611931249499321,0.0017785084201022983,-0.02084953896701336,-0.0005380513612180948,-0.01756066456437111,-0.028993714600801468,0.010216738097369671,0.006427946966141462,-0.03986852988600731,-0.0014136838726699352,0.007188327144831419,-0.021623635664582253,0.025629036128520966,0.05288439616560936,0.11012975126504898,0.0732414498925209,0.02067076787352562,-0.016014590859413147,0.02820226550102234,0.06353850662708282,0.017575182020664215,0.04132675379514694,0.004403353668749332,0.05335802957415581,-0.009698347188532352,0.058384720236063004,-0.013647225685417652,-0.0007170861354097724,-0.018016040325164795,0.005447229370474815,-0.00926557369530201,0.03897712379693985,0.07630697637796402,-0.04793279245495796,0.03721761330962181,-0.007745200302451849,-0.009147509932518005,-0.01907815970480442,-0.03549817577004433,-0.0497988797724247,-0.022636892274022102,0.021783433854579926,-0.00659586675465107,0.0406707301735878,-0.009807433001697063,0.06074727699160576,0.00039354281034320593,0.08424408733844757,-0.0283381137996912,-0.07201600074768066,0.004630451090633869,-0.023772526532411575,-0.014378922060132027,0.007835558615624905,-0.09319831430912018,-0.009121345356106758,-0.04962742701172829,-0.05733155459165573,0.02233230508863926,-0.017419425770640373,-0.022406520321965218,-0.018627017736434937,-0.06228417158126831,-0.019881542772054672,0.03196169063448906,0.06828818470239639,0.035528622567653656,-0.03190213069319725,-0.059470634907484055,0.03162737935781479,0.016571080312132835,0.052128180861473083,0.01019483245909214,-0.1377967745065689,0.026234332472085953,-0.037173133343458176,0.005518137011677027,0.030273130163550377,-0.015027237124741077,0.0741032138466835,-0.042828790843486786,-0.03904847428202629,-0.002313902834430337,0.04054831713438034,0.04267815873026848,0.053375083953142166,0.006048834417015314,0.023611323907971382,0.008438450284302235,0.020521046593785286,0.025990622118115425,-0.07060028612613678,0.02086995728313923,0.016818584874272346,0.04674287512898445,0.03837139159440994,-0.055737461894750595,-0.08427868038415909,0.00643568579107523,-0.05429798737168312,0.05683666095137596,0.010929778218269348,-0.000990015803836286,-0.0724230483174324,-0.09590166062116623,0.0013916894095018506,0.06244206801056862,-0.08979427069425583,-0.07007013261318207,0.1015314906835556,0.03543253242969513,-0.07239823788404465,-0.029502023011446,0.019000820815563202,-0.05693585053086281,-0.013890087604522705,-0.03191889449954033,0.02383526600897312,0.048994358628988266,-0.04847715422511101,0.07860226184129715,-0.02467341348528862,0.05849086493253708,-0.06220870092511177,-0.13745242357254028,0.010180981829762459,-0.05955259129405022,-0.036186087876558304,-0.001570467371493578,-0.06084362417459488,-0.004004752263426781,-0.008096571080386639,0.03700655326247215,-0.01086338795721531,-0.04880785569548607,-0.006236000917851925,0.09614507853984833,0.0356452576816082,-0.058387916535139084,-0.059626225382089615,0.0025002053007483482,-0.023757094517350197,0.01812368631362915,0.013073173351585865,-0.0073020365089178085,-0.009441873989999294,-0.019773026928305626,0.06582717597484589,0.01184021309018135,-0.019467774778604507,-0.02031591534614563,0.029815800487995148,0.034550685435533524,0.028864169493317604,-0.004032494034618139,0.0017981290584430099,0.005945833399891853,-0.019594116136431694,0.038562219589948654,0.004939397796988487,0.02306206151843071,0.026909036561846733,0.02061140350997448,-0.005752332042902708,-0.00401208596304059,0.055917441844940186,-0.004870304837822914,0.025939134880900383,-0.03539440780878067,-0.05754208192229271,0.002890043193474412,0.0021776969078928232,0.016070067882537842,0.06921527534723282,0.0004959488869644701,-0.020810209214687347,-2.754110209934879e-05,0.003510736860334873,-0.020324742421507835,0.06079835072159767,-0.02012569084763527,0.00969990249723196,-0.01515112817287445,0.010044440627098083,-0.10057263821363449,0.027476292103528976,0.04305071383714676,-0.04374656826257706,-0.020472394302487373,-0.026400281116366386,-0.027875371277332306,0.03301525488495827,-0.07555685937404633,0.043637946248054504,0.022797945886850357,-0.041495248675346375,-0.00386110320687294,-0.028567975386977196,-0.011867356486618519,0.018317321315407753,-0.022850630804896355,0.02357141301035881,0.011135727167129517,-0.005407551769167185,0.048201967030763626,0.02423333376646042,-0.02636081725358963,-0.01795000582933426,0.043979302048683167,-0.036069151014089584,0.04667248949408531,-0.04046422615647316,-0.005004987586289644,0.06918684393167496,0.027903471142053604,-0.06039534881711006,-0.017599469050765038,-0.006104170810431242,0.0029635110404342413,-0.024346163496375084,0.034592725336551666,-0.028538668528199196,-0.007887603715062141,-0.03624211996793747,-0.032403409481048584,-0.03786228597164154,-0.06079010292887688,-0.010088343173265457,-0.006467032246291637,-0.016883838921785355,0.030794769525527954,0.001761457766406238,-0.09081573784351349,0.009209881536662579,0.0670495331287384,0.0028020828031003475,0.034695010632276535,-0.03924117982387543,-0.06009822338819504,-0.045376718044281006,0.02011389657855034,0.014363319613039494,0.0016594377811998129,-0.002825201954692602,-0.016938423737883568,0.016607211902737617,0.010930030606687069,0.06028902903199196,-0.011817635037004948,-0.011830879375338554,0.035149965435266495,-0.05258624255657196,0.009581716731190681,0.026699872687458992,-0.01647822931408882,0.04313947260379791,0.023490434512495995
